"No","名称","分類","提供形態","主要成果物","ワークフロー","留意点・参考点","一次資料URL","確認日"
"1","GitHub Spec Kit","AI仕様・実装","CLI＋テンプレート／Skills","spec.md、plan.md、tasks.md、原則・補助文書","仕様→計画→タスク→実装→照合","機能単位の仕様・受入シナリオ・文書横断の整合確認を参考にできる","https://github.com/github/spec-kit","2026-09-14"
"2","OpenSpec","AI仕様・実装","CLI＋エージェント連携","現行specs、change proposal、design、tasks、差分仕様","変更提案→実装→検証・アーカイブ／仕様統合","現行仕様と変更差分の分離が特徴。自然言語シナリオ自体は自動テストではない","https://github.com/Fission-AI/OpenSpec/blob/main/docs/concepts.md","2026-09-14"
"3","Kiro","AI仕様・実装","製品内の仕様ワークフロー","requirements.md／bugfix.md、design.md、tasks.md","要件または不具合分析→設計→タスク実行","IDE・CLI・Webで機能差がある。EARSや不具合の不変条件が参考","https://kiro.dev/docs/specs/","2026-09-14"
"4","cc-sdd","AI仕様・実装","CLI＋Agent Skills","requirements、research、design、tasks、gap-report等","探索→仕様→設計→タスク→実装・統合検証","日本語ガイドあり。責務境界、既存コードとの差、再検証条件が参考","https://github.com/gotalab/cc-sdd/blob/main/docs/guides/spec-driven.md","2026-09-14"
"5","BMad Method","AI仕様・実装","Skills＋開発方法論","brief、PRD、UX、architecture、SPEC、stories","意図の明確化→必要な計画→仕様→実装・レビュー","案件規模に応じた成果物。PRDと実装用仕様を区別","https://docs.bmad-method.org/plan/choose-a-planning-path/","2026-09-14"
"6","Spec Kitty","AI仕様・実装","CLI＋worktree＋進捗UI","kitty-specs、計画、work packages、レビュー状態","仕様→計画→作業分割→レビュー→受入→マージ","並行作業と追跡に重点。mainは4.x RC系列と明記、安定版と区別","https://github.com/spec-kitty/spec-kitty","2026-09-14"
"7","GSD / Get Shit Done","AI仕様・実装","エージェント向け開発ワークフロー","PROJECT、REQUIREMENTS、ROADMAP、STATE、検証記録","要求整理→フェーズ計画→実行→検証","長期作業の文脈・進捗・再開状態が参考。別系統のGSDと混同しない","https://github.com/gsd-build/get-shit-done/blob/main/docs/USER-GUIDE.md","2026-09-14"
"8","Superpowers","AI仕様・実装","開発Skills群","仕様・設計文書、実装計画、テスト・レビュー","対話→仕様→計画→TDD→レビュー","仕様形式より実装時の行動を支える。要件管理専用ではない","https://github.com/obra/superpowers","2026-09-14"
"9","Agent OS","AI仕様・実装","規約・仕様作成支援","コードベース標準、仕様・計画","規約抽出→関連規約注入→仕様具体化","現行は規約と仕様支援に重点。旧版の一貫実装フローと区別","https://github.com/buildermethods/agent-os","2026-09-14"
"10","Spec Workflow MCP / Pimzino","AI仕様・実装","MCP＋Web／VS Code UI","requirements、design、tasks、承認・実装ログ","要件→設計→タスク、承認と進捗管理","READMEにメンテナー休止の告知あり。導入前に保守状況を確認","https://github.com/Pimzino/spec-workflow-mcp","2026-09-14"
"11","specs-workflow-mcp / kingkongshot","AI仕様・実装","MCPサーバー","要件・設計・タスク","構造化された段階ワークフロー","Pimzino版とは別プロジェクト。サーバーごとの機能確認が必要","https://github.com/kingkongshot/specs-workflow-mcp","2026-09-14"
"12","Intent / Augment","AI仕様・実装","エージェント作業環境","living spec、タスク、検証結果","Coordinator→Implementor→Verifier","共有仕様と並行worktree。効果は製品説明であり実測比較ではない","https://www.augmentcode.com/guides/intent-walkthrough-prompt-to-merge","2026-09-14"
